Rank,Model,Strategy,Quality (Total),Final (Pareto-adj),L0,L1,L2,L3,L4,L5,TPV
1,Sonnet-4.6,FC,0.9018,0.9018,0.9538,0.9803,0.9540,0.8832,0.8509,0.8945,2846
2,Sonnet-4.6,FS,0.8836,0.8836,0.9613,0.9799,0.9370,0.8517,0.8356,0.8710,2415
3,Qwen3.5-397B-A17B,FC,0.8788,0.8788,0.9320,0.9676,0.8937,0.8646,0.8419,0.8719,4082
4,Sonnet-4.6,ZC,0.8780,0.8780,0.9610,0.9860,0.9639,0.8877,0.7695,0.8673,969
5,Qwen3.5-122B-A10B,FC,0.8714,0.8714,0.9370,0.9774,0.9040,0.8279,0.8309,0.8717,4779
6,Qwen3.5-397B-A17B,ZC,0.8615,0.8615,0.9484,0.9805,0.9032,0.8581,0.7525,0.8832,1990
7,Qwen3.5-122B-A10B,ZC,0.8608,0.8608,0.9448,0.9792,0.9079,0.8682,0.7479,0.8753,2572
8,Qwen3.5-35B-A3B,FC,0.8607,0.8607,0.9086,0.9293,0.8799,0.8328,0.8178,0.8773,5607
9,Sonnet-4.6,ZS,0.8591,0.8591,0.9585,0.9766,0.9338,0.8628,0.7629,0.8408,658
10,Qwen3.5-122B-A10B,FS,0.8530,0.8530,0.9361,0.9776,0.9026,0.8237,0.8242,0.8089,2980
11,GPT-4.1,FS,0.8496,0.8496,0.9273,0.9802,0.8905,0.8192,0.8125,0.8186,2308
12,Qwen3.5-397B-A17B,FS,0.8479,0.8479,0.9303,0.9698,0.8979,0.8220,0.8164,0.8047,2894
13,Qwen3.5-35B-A3B,ZC,0.8458,0.8458,0.9276,0.9642,0.8899,0.8600,0.7415,0.8485,3042
14,GPT-4o,FS,0.8443,0.8443,0.9505,0.9790,0.8185,0.8180,0.8135,0.8365,2350
15,DeepSeek-V3,FS,0.8405,0.8405,0.9360,0.9628,0.8310,0.8311,0.8090,0.8171,2344
