Sfin Rank,Model,Strategy,Final,Quality,TPV,Q/kTPV
1,Sonnet-4.6,FC,0.9018,0.9018,2846,0.317
2,Sonnet-4.6,FS,0.8836,0.8836,2415,0.366
3,Qwen3.5-397B-A17B,FC,0.8788,0.8788,4082,0.215
4,Sonnet-4.6,ZC,0.8780,0.8780,969,0.906
5,Qwen3.5-122B-A10B,FC,0.8714,0.8714,4779,0.182
6,Qwen3.5-397B-A17B,ZC,0.8615,0.8615,1990,0.433
7,Qwen3.5-122B-A10B,ZC,0.8608,0.8608,2572,0.335
8,Qwen3.5-35B-A3B,FC,0.8607,0.8607,5607,0.153
9,Sonnet-4.6,ZS,0.8591,0.8591,658,1.305
10,Qwen3.5-122B-A10B,FS,0.8530,0.8530,2980,0.286
11,GPT-4.1,FS,0.8496,0.8496,2308,0.368
12,Qwen3.5-397B-A17B,FS,0.8479,0.8479,2894,0.293
13,Qwen3.5-35B-A3B,ZC,0.8458,0.8458,3042,0.278
14,GPT-4o,FS,0.8443,0.8443,2350,0.359
15,DeepSeek-V3,FS,0.8405,0.8405,2344,0.359
16,DeepSeek-V3,FC,0.8395,0.8395,2802,0.300
17,Sonnet-4,ZS,0.8342,0.8342,625,1.335
18,Llama-3.3-70B,FC,0.8341,0.8341,3384,0.246
19,Qwen3.5-122B-A10B,ZS,0.8314,0.8314,892,0.932
20,Llama-3.3-70B,FS,0.8312,0.8312,2636,0.315
